,Feature,Model,Accuracy,Precision,Recall,F1
0,BoW,AdaBoost,0.9921599818036195,0.9911679294559436,0.9938674111098498,0.9925144608330412
1,BoW,Gradient Boosting,0.9952336173665304,0.9979027068331081,0.9929730873198631,0.9954315324057357
2,BoW,Logistic Regression,0.9923827287179117,0.9914626062694,0.9939951250190868,0.9927264615267036
3,BoW,Random Forest,0.997327255305686,0.9981659820802664,0.9967207039616065,0.997442622597425
4,TF-IDF,AdaBoost,0.9915586455007241,0.9911578020636107,0.992717478153985,0.991936306970872
5,TF-IDF,Gradient Boosting,0.9956122712461222,0.9974787136491793,0.9941229296020259,0.9957978789979375
6,TF-IDF,Logistic Regression,0.9831841259895956,0.9863901884749113,0.9813891591972693,0.9838824376572021
7,TF-IDF,Random Forest,0.9975277354659016,0.9979970614735718,0.9972743575858889,0.99763548981833
8,Word2Vec,AdaBoost,0.9297963399379547,0.936145445879901,0.9291767752732089,0.9326382594389013
9,Word2Vec,Gradient Boosting,0.949530041762876,0.9569771094467237,0.9460416304727473,0.9514715005097223
10,Word2Vec,Logistic Regression,0.9578154520905124,0.9650646856315515,0.953877506719828,0.959433916168139
11,Word2Vec,Random Forest,0.9590182288740543,0.962529052647708,0.9589882573928991,0.9607476551007483
12,BERT,AdaBoost,0.9640741165168617,0.9673086925176124,0.963885797923137,0.965591879882238
13,BERT,Gradient Boosting,0.9765913238288499,0.9802618205489851,0.9748732835014847,0.9775595012587717
14,BERT,Logistic Regression,0.9927613850779261,0.9944493366646192,0.9916954041852805,0.9930697138198991
15,BERT,Random Forest,0.9801104581811904,0.981336014971658,0.980622603720741,0.9809783665908572
16,Linguistic,AdaBoost,0.9540736774820535,0.9610199458616536,0.9507687588474865,0.9558572736596483
17,Linguistic,Gradient Boosting,0.9595750291883736,0.9642330435782235,0.9582640737373052,0.9612326206369619
18,Linguistic,Logistic Regression,0.9122454398049793,0.9358478639683019,0.8934454701050619,0.9141513517744855
19,Linguistic,Random Forest,0.9701545997825661,0.961000059020791,0.9828372907568316,0.9717908607873742
